"switch","direction","distance","weight","switch_activation","test_num"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.68","42.56353276353277","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.69","42.69943019943021","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.7","43.73532763532764","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.7","42.65071225071226","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.72","51.61225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.73","42.27122507122508","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.74","42.04814814814816","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.75","41.99686609686611","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.75","41.97891737891739","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.76","41.355840455840465","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.77","40.886609686609695","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.78","40.71737891737892","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.79","40.61994301994303","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.8","40.289173789173795","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.81","41.10968660968662","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.82","40.10712250712252","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.82","40.01481481481483","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.83","39.95840455840457","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.84","39.76353276353277","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.84","39.63019943019944","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.86","39.46866096866098","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.87","39.71481481481482","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.88","41.10968660968662","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.89","39.817378917378925","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.9","39.95840455840457","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.91","39.889173789173796","0","1"
